epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.959,1.59841,7.67407,1.7059,0.35334,0.4,0.29865,0.14562,1.60585,9.60581,1.61804,0.00024,0.00024,0.00024
2,246.465,1.34395,3.15932,1.41622,0.71344,0.33215,0.43897,0.27312,1.39789,4.5577,1.41002,0.00049505,0.00049505,0.00049505
3,307.888,1.45545,2.10707,1.48401,0.01363,0.2,0.01363,0.00542,2.14622,6.86657,2.27755,0.000744952,0.000744952,0.000744952
4,366.766,1.63468,2.09748,1.57703,0.02543,0.06667,0.00319,0.00053,3.85507,7.42207,5.46999,0.000989706,0.000989706,0.000989706
5,425.451,1.6867,1.87816,1.6212,0.00994,0.06667,0.00161,0.00066,4.16614,49.6027,15.063,0.00122931,0.00122931,0.00122931
6,483.736,1.67879,1.68163,1.62457,0.00407,0.46667,0.00386,0.00045,4.41106,4998.86,231.402,0.00146377,0.00146377,0.00146377
7,541.592,1.6695,1.67018,1.61569,0.04633,0.13333,0.01471,0.00147,5.22214,122.294,169.819,0.00169308,0.00169308,0.00169308
8,599.389,1.77663,1.77889,1.7649,0,0,0,0,4.94041,42263.3,42.7951,0.0018614,0.0018614,0.0018614
9,656.68,1.79165,1.85227,1.71966,0,0,0,0,5.29403,148.071,13.2904,0.0018416,0.0018416,0.0018416
10,714.278,1.74519,1.79279,1.68112,0.01757,0.06667,0.00227,0.00107,4.65781,29.5968,44.2296,0.0018218,0.0018218,0.0018218
11,771.885,1.80501,1.79243,1.73968,0.05714,0.13333,0.03212,0.00394,4.61061,135.623,29.8644,0.001802,0.001802,0.001802
12,829.799,1.89812,1.98215,1.80977,0.00254,0.06667,0.00142,0.00014,4.92257,8.78662,9.76064,0.0017822,0.0017822,0.0017822
13,887.65,1.7722,1.64508,1.68495,0.63457,0.26667,0.30122,0.15041,2.39705,4.3742,2.39533,0.0017624,0.0017624,0.0017624
14,945.801,1.67521,1.56928,1.58484,0.02586,0.2,0.01052,0.00248,3.56105,7.74496,3.61574,0.0017426,0.0017426,0.0017426
15,1002.83,1.57995,1.54428,1.53766,0.02425,0.06667,0.00735,0.0014,4.34157,10.0565,4.59158,0.0017228,0.0017228,0.0017228
16,1059.62,1.59387,1.5051,1.56428,0,0,0,0,4.49434,339.137,7.84335,0.001703,0.001703,0.001703
17,1119.11,1.43614,1.34199,1.42975,0.00542,0.06667,0.00062,0.00017,5.04678,91.9161,6.388,0.0016832,0.0016832,0.0016832
18,1177.92,1.48137,1.43073,1.45957,0.01905,0.06667,0.00439,0.00071,4.69492,24.0076,5.57688,0.0016634,0.0016634,0.0016634
19,1351.96,1.53106,1.43763,1.54088,0.09816,0.2,0.06502,0.01633,3.67503,12.8792,4.49695,0.0016436,0.0016436,0.0016436
20,1471.55,1.56376,1.35831,1.54546,0.60936,0.53333,0.6023,0.38032,1.85016,2.89395,1.74337,0.0016238,0.0016238,0.0016238
21,1550.96,1.53942,1.45146,1.50388,0.72666,0.70997,0.83606,0.46074,1.6895,2.3868,1.55223,0.001604,0.001604,0.001604
22,1609.94,1.46709,1.35135,1.48482,0.52749,0.53333,0.55845,0.24448,1.98925,3.52996,1.90229,0.0015842,0.0015842,0.0015842
23,1667.02,1.51843,1.33095,1.4916,0.71129,0.8,0.76261,0.38439,1.75342,2.03882,1.68218,0.0015644,0.0015644,0.0015644
24,1723.98,1.47625,1.27355,1.48378,0.70375,0.73333,0.7861,0.44165,1.63828,1.62485,1.50504,0.0015446,0.0015446,0.0015446
25,1780.79,1.40246,1.33426,1.42247,0.84958,0.6,0.70736,0.33326,1.75269,1.75939,1.693,0.0015248,0.0015248,0.0015248
26,1838.19,1.40716,1.28005,1.39517,0.66171,0.8,0.8159,0.37926,1.6857,1.39023,1.49442,0.001505,0.001505,0.001505
27,1895.61,1.38178,1.21713,1.40784,0.92095,0.26667,0.46797,0.26215,1.87659,1.8927,1.60362,0.0014852,0.0014852,0.0014852
28,1952.96,1.34028,1.2135,1.35566,0.69278,0.60143,0.68495,0.35427,1.72534,1.37097,1.5986,0.0014654,0.0014654,0.0014654
29,2009.74,1.45723,1.24503,1.43945,0.63519,0.81309,0.78466,0.45675,1.49506,1.34354,1.39948,0.0014456,0.0014456,0.0014456
